,batch_sizes,cos-sim
0,200,0.06684412807226181
1,1000,0.1248534694314003
2,2000,0.1442132443189621
3,10000,0.32765886187553406
4,20000,0.4673804044723511
5,100000,0.6793932914733887
6,200000,0.8030617833137512
7,1000000,0.9420270323753357
