,batch_sizes,ave-cos-sim
0,200,-0.006247127894312143
1,1000,0.017735015600919724
2,2000,0.04322623461484909
3,10000,0.15628176927566528
4,20000,0.37727388739585876
5,100000,0.5040059685707092
6,200000,0.6643681526184082
7,1000000,0.8434203863143921
